primaryTitle,startYear,revenue
Avatar,2009,2787965087
Pirates of the Caribbean: At World's End,2007,961000000
Spectre,2015,880674609
The Dark Knight Rises,2012,1084939099
John Carter,2012,284139100
Spider-Man 3,2007,890871626
Tangled,2010,591794936
Avengers: Age of Ultron,2015,1405403694
Harry Potter and the Half-Blood Prince,2009,933959197
Batman v Superman: Dawn of Justice,2016,873260194
Superman Returns,2006,391081192
Quantum of Solace,2008,586090727
Pirates of the Caribbean: Dead Man's Chest,2006,1065659812
The Lone Ranger,2013,89289910
Man of Steel,2013,662845518
The Chronicles of Narnia: Prince Caspian,2008,419651413
The Avengers,2012,1519557910
Pirates of the Caribbean: On Stranger Tides,2011,1045713802
Men in Black 3,2012,624026776
The Hobbit: The Battle of the Five Armies,2014,956019788
The Amazing Spider-Man,2012,752215857
Robin Hood,2010,310669540
The Hobbit: The Desolation of Smaug,2013,958400000
The Golden Compass,2007,372234864
King Kong,2005,550000000
Titanic,1997,1845034188
Captain America: Civil War,2016,1153304495
Battleship,2012,303025485
Jurassic World,2015,1513528810
Skyfall,2012,1108561013
Spider-Man 2,2004,783766341
Iron Man 3,2013,1215439994
Alice in Wonderland,2010,1025491110
X-Men: The Last Stand,2006,459359555
Monsters University,2013,743559607
Transformers: Revenge of the Fallen,2009,836297228
Transformers: Age of Extinction,2014,1091405097
Oz: The Great and Powerful,2013,491868548
The Amazing Spider-Man 2,2014,705717432
TRON: Legacy,2010,400062763
Cars 2,2011,559852396
Green Lantern,2011,219851172
Toy Story 3,2010,1066969703
Terminator Salvation,2009,371353001
Furious 7,2015,1506249360
World War Z,2013,531865000
X-Men: Days of Future Past,2014,747862775
Star Trek Into Darkness,2013,467365246
Jack the Giant Slayer,2013,197687603
The Great Gatsby,2013,351040419
Prince of Persia: The Sands of Time,2010,335154643
Pacific Rim,2013,407602906
Transformers: Dark of the Moon,2011,1123746996
Indiana Jones and the Kingdom of the Crystal Skull,2008,786636033
The Good Dinosaur,2015,331926147
Brave,2012,538983207
Star Trek Beyond,2016,343471816
WALL·E,2008,521311860
Rush Hour 3,2007,258022233
2012,2009,769653595
A Christmas Carol,2009,325233863
Jupiter Ascending,2015,183987723
The Legend of Tarzan,2016,356743061
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,748806957
X-Men: Apocalypse,2016,543934787
The Dark Knight,2008,1004558444
Up,2009,735099082
Monsters vs Aliens,2009,381509870
Iron Man,2008,585174222
Hugo,2011,185770160
Wild Wild West,1999,222104681
The Mummy: Tomb of the Dragon Emperor,2008,401128639
Suicide Squad,2016,745000000
Evan Almighty,2007,173000000
Edge of Tomorrow,2014,370541256
Waterworld,1995,264218220
G.I. Joe: The Rise of Cobra,2009,302469017
Inside Out,2015,857611174
The Jungle Book,2016,966550600
Iron Man 2,2010,623933331
Snow White and the Huntsman,2012,396600000
Maleficent,2014,758539785
Dawn of the Planet of the Apes,2014,710644566
47 Ronin,2013,150962475
Captain America: The Winter Soldier,2014,714766572
Shrek Forever After,2010,752600867
Tomorrowland,2015,209154322
Big Hero 6,2014,652105443
Wreck-It Ralph,2012,471222889
The Polar Express,2004,305875730
Independence Day: Resurgence,2016,389681935
How to Train Your Dragon,2010,494878759
Terminator 3: Rise of the Machines,2003,435000000
Guardians of the Galaxy,2014,773328629
Interstellar,2014,675120017
Inception,2010,825532764
Shin Godzilla,2016,77000000
The Hobbit: An Unexpected Journey,2012,1021103568
The Fast and the Furious,2001,207283925
The Curious Case of Benjamin Button,2008,333932083
X-Men: First Class,2011,353624124
The Hunger Games: Mockingjay - Part 2,2015,653428261
The Sorcerer's Apprentice,2010,215283742
Poseidon,2006,181674817
Alice Through the Looking Glass,2016,299370084
Shrek the Third,2007,798958165
Warcraft,2016,433677183
Terminator Genisys,2015,440603537
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,415686217
Pearl Harbor,2001,449220945
Transformers,2007,709709780
Alexander,2004,167298192
Harry Potter and the Order of the Phoenix,2007,938212738
Harry Potter and the Goblet of Fire,2005,895921036
Hancock,2008,624029371
I Am Legend,2007,585349010
Charlie and the Chocolate Factory,2005,474968763
Ratatouille,2007,623722818
Batman Begins,2005,374218673
Madagascar: Escape 2 Africa,2008,603900354
Night at the Museum: Battle of the Smithsonian,2009,413106170
X-Men Origins: Wolverine,2009,373062864
The Matrix Revolutions,2003,424988211
Frozen,2013,1274219009
The Matrix Reloaded,2003,738599701
Thor: The Dark World,2013,644571402
Mad Max: Fury Road,2015,378858340
Angels & Demons,2009,356613439
Thor,2011,449326618
Bolt,2008,309979994
G-Force,2009,292817841
Wrath of the Titans,2012,301000000
Dark Shadows,2012,245527149
Mission: Impossible - Rogue Nation,2015,682330139
Bee Movie,2007,287594577
Kung Fu Panda 2,2011,665692281
The Last Airbender,2010,318502923
Mission: Impossible III,2006,397850012
White House Down,2013,205366737
Mars Needs Moms,2011,38992758
Flushed Away,2006,64459316
Pan,2015,128388320
Mr. Peabody & Sherman,2014,272912430
Troy,2004,497409852
Madagascar 3: Europe's Most Wanted,2012,746921274
Die Another Day,2002,431971116
Ghostbusters,2016,229147509
Armageddon,1998,553799566
Men in Black II,2002,441818803
Beowulf,2007,195735876
Kung Fu Panda 3,2016,521170825
Mission: Impossible - Ghost Protocol,2011,694713380
Rise of the Guardians,2012,306941670
Fun with Dick and Jane,2005,202026112
The Last Samurai,2003,456758981
Exodus: Gods and Kings,2014,268031828
Star Trek,2009,385680446
Spider-Man,2002,821708551
How to Train Your Dragon 2,2014,609123048
Gods of Egypt,2016,150680864
Stealth,2005,76932943
Watchmen,2009,185258983
Lethal Weapon 4,1998,285444603
Hulk,2003,245360480
G.I. Joe: Retaliation,2013,371876278
Sahara,2005,119269486
Final Fantasy: The Spirits Within,2001,85131830
Captain America: The First Avenger,2011,370569774
The World Is Not Enough,1999,361832400
Master and Commander: The Far Side of the World,2003,212011111
The Twilight Saga: Breaking Dawn - Part 2,2012,829000000
Happy Feet Two,2011,150406466
The Incredible Hulk,2008,163712074
The BFG,2016,183345589
The Revenant,2015,532950503
Turbo,2013,282570682
Rango,2011,245724603
Penguins of Madagascar,2014,373552094
The Bourne Ultimatum,2007,442824138
Kung Fu Panda,2008,631744560
Ant-Man,2015,519311965
The Hunger Games: Catching Fire,2013,847423452
Home,2015,368871007
War of the Worlds,2005,591739379
Bad Boys II,2003,273339556
Puss in Boots,2011,554987477
Salt,2010,293329073
Noah,2014,362637473
The Adventures of Tintin,2011,371940071
Harry Potter and the Prisoner of Azkaban,2004,789804554
Australia,2008,49554002
After Earth,2013,243843127
Dinosaur,2000,354248063
Night at the Museum: Secret of the Tomb,2014,349424282
Megamind,2010,321887208
Harry Potter and the Philosopher's Stone,2001,976475550
R.I.P.D.,2013,61648500
Pirates of the Caribbean: The Curse of the Black Pearl,2003,655011224
The Hunger Games: Mockingjay - Part 1,2014,752100229
The Da Vinci Code,2006,767820459
Rio 2,2014,500188435
X2,2003,407711549
Fast Five,2011,626137675
Sherlock Holmes: A Game of Shadows,2011,334615000
Clash of the Titans,2010,232713139
Total Recall,1990,261317921
The 13th Warrior,1999,61698899
The Bourne Legacy,2012,276572938
Batman & Robin,1997,238207122
How the Grinch Stole Christmas,2000,345141403
The Day After Tomorrow,2004,544272402
Mission: Impossible II,2000,546388105
The Perfect Storm,2000,325756637
Fantastic 4: Rise of the Silver Surfer,2007,289047763
Life of Pi,2012,609016565
Ghost Rider,2007,228738393
Jason Bourne,2016,415484914
Charlie's Angels: Full Throttle,2003,259175788
Prometheus,2012,403170142
Stuart Little 2,2002,169956806
Elysium,2013,286140700
The Chronicles of Riddick,2004,115772733
RoboCop,2014,242688965
Speed Racer,2008,93945766
How Do You Know,2010,48668907
Knight and Day,2010,261930431
Oblivion,2013,286168572
Star Wars: Episode III - Revenge of the Sith,2005,850000000
Star Wars: Episode II - Attack of the Clones,2002,649398328
"Monsters, Inc.",2001,562816256
The Wolverine,2013,415440673
Star Wars: Episode I - The Phantom Menace,1999,924317558
The Croods,2013,585178928
Asterix at the Olympic Games,2008,132900000
Windtalkers,2002,77628265
The Huntsman: Winter's War,2016,164602163
Teenage Mutant Ninja Turtles,2014,477200000
Gravity,2013,716392705
Dante's Peak,1997,178127760
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,245623848
Fantastic Four,2015,167977596
Night at the Museum,2006,574480841
San Andreas,2015,470490832
Tomorrow Never Dies,1997,333011068
The Patriot,2000,215294342
Ocean's Twelve,2004,362744280
Mr. & Mrs. Smith,2005,478207520
Insurgent,2015,295238201
The Aviator,2004,102000000
Gulliver's Travels,2010,237382724
The Green Hornet,2011,227817248
300: Rise of an Empire,2014,337580051
The Smurfs,2011,563749323
Home on the Range,2004,103951461
Allegiant,2016,179246868
Real Steel,2011,299268508
The Smurfs 2,2013,347434178
Speed 2: Cruise Control,1997,164508066
Ender's Game,2013,125537191
Live Free or Die Hard,2007,383531464
The Lord of the Rings: The Fellowship of the Ring,2001,871368364
Around the World in 80 Days,2004,72178895
Ali,2001,87713825
"I, Robot",2004,347234916
Kingdom of Heaven,2005,211643158
Stuart Little,1999,300135367
The Princess and the Frog,2009,267045765
The Martian,2015,630161890
The Island,2005,162949164
Town & Country,2001,10372291
Gone in Sixty Seconds,2000,237202299
Gladiator,2000,457640427
Minority Report,2002,358372926
Harry Potter and the Chamber of Secrets,2002,876688482
Casino Royale,2006,599045960
Planet of the Apes,2001,362211740
Terminator 2: Judgment Day,1991,520000000
Public Enemies,2009,214104620
American Gangster,2007,266465037
True Lies,1994,378882411
The Taking of Pelham 1 2 3,2009,150166126
Little Fockers,2010,310650585
The Other Guys,2010,170432927
Eraser,1996,242295562
Django Unchained,2012,425368238
The Hunchback of Notre Dame,1996,100138851
The Emperor's New Groove,2000,169327687
The Expendables 2,2012,312573423
National Treasure,2004,347451894
Eragon,2006,249288105
Where the Wild Things Are,2009,100086793
Epic,2013,268426634
The Tourist,2010,278731369
End of Days,1999,211989043
Blood Diamond,2006,170877916
The Wolf of Wall Street,2013,392000694
Batman Forever,1995,336529144
Starship Troopers,1997,121214377
Cloud Atlas,2012,130482868
